pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S32,S33,goal1,S32goal1,,circ3,Regularly practice and learn coding,Education/Learning,circ3,S32goal1circ3,Medium term,r17,Work,No,,barrier-unconfident,Work made me too tired to effectively learn,Behaviors and Biological Factors,Living/Working,Yes,No,No,more than half a day to a day,,weekly,,,It made me feel a bit ashamed and like I wont find a good career.,none,Emotional,,,I failed in maintaining the habit of coding.,I refrained from coding.,Skipped,,,,,,
S33,S34,goal2,S33goal2,,circ2,Increase mental well being.,Mental health and wellbeing,circ1,S33goal2circ1,Long term,,No disruption,No,,not enough information,,,No response,No,No,No,No response,,No response,,,,,No labor- positive disruption,,,,,No response,,,,,,
S33,S34,goal1,S33goal1,,circ2,Increase physical health through diet and exercise.,Physical Activity,circ2,S33goal1circ2,Medium term,,Social interaction - other,No,,event-external,Having prior commitments with friends.,Social and Community Networks,Social/Community,No,No,No,more than half a day to a day,,yearly or less,,,Increased my anxiety.,,Emotional,,,I felt I did not have enough time for both.,I skipped exercise.,Skipped,,,,,,
S33,S34,goal1,S33goal1,,circ1,Increase physical health through diet and exercise.,Physical Activity,circ1,S33goal1circ1,Medium term,,Work,No,,event-external,Having to work more than expected,Living and Working Conditions,Living/Working,No,No,No,more than half a day to a day,,weekly,,,It increased my anxiety and made me feel much more tired.,,Emotional,Physical,,I was too tired and it felt too late in the day to proceed.,I skipped exercise.,Skipped,,,,,,
S34,S35,goal1,S34goal1,,circ2,Work out and get rid of chronic physical pains.,Physical Activity,circ2,S34goal1circ2,Medium term,,Internal - Feelings and thoughts,No,,event-internal,Less pain (so less impetus to exercise),Behaviors and Biological Factors,Behavior/Biological,No,No,No,more than half a day to a day,,weekly,,,"I felt better, but only temporarily.",NA,,Emotional,,It lowered my self-discipline.,I did less exercise than I really needed long term.,Skipped,,,,,,
S34,S35,goal1,S34goal1,,circ1,Work out and get rid of chronic physical pains.,Physical Activity,circ1,S34goal1circ1,Long term,r18,Internal - Feelings and thoughts,No,,barrier,Low motivation,Behaviors and Biological Factors,Psychosocial,Yes,No,No,multiple days to a week,,weekly,,,It made me less enthused about doing anything productive.,,Emotional,,,It made me want to accept the current physical situation instead of improve it.,I only did a stretch for 30 seconds all day.,Paused,,,,,,
S34,S35,goal2,S34goal2,,circ1,Do well in classes this semester.,Education/Learning,circ1,S34goal2circ1,Medium term,,Internal - Feelings and thoughts,Yes,,barrier,Feeling lazy,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,daily,,,Made me mildly depressive.,I got up and walked to gain some energy.,Emotional,,,It lowered my ability to finish tasks.,I just didn't do what I had to do.,Skipped,,,,,,
S34,S35,goal2,S34goal2,,circ3,Do well in classes this semester.,Education/Learning,circ2,S34goal2circ2,Medium term,,Internal - Feelings and thoughts,No,,event-internal,Nervousness about doing assignments well,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,daily,,,It makes me uneasy and physically on edge.,NA,Physical,,,It hindered my task completion skills.,I avoided the assignment I had to do.,Skipped,,,,,,
S34,S35,goal3,S34goal3,,circ2,Find ways to make some money without a job during college.,Financial Stability/Safety,circ1,S34goal3circ1,Medium term,r18,Internal - Feelings and thoughts,Yes,,barrier,Feeling it's a pointless task,Psychosocial Factors,Psychosocial,Yes,No,No,multiple months to a year,,weekly,,,I felt apathetic about the topic.,NA,Emotional,,,,I didn't do anything.,Abandoned,,,,,,
S34,S35,goal1,S34goal1,,circ3,Work out and get rid of chronic physical pains.,Physical Activity,circ3,S34goal1circ3,Medium term,,Pain,No,,barrier-unconfident,Sleepiness and tiredness,Behaviors and Biological Factors,Behavior/Biological,No,No,No,more than an hour to half a day,,weekly,,,It made me more apathetic and weary.,I slept.,Emotional,,,It made me not feel like doing strenuous tasks.,I simply slept away the body pains.,Skipped,,,,,,
S35,S36,goal1,S35goal1,,circ2,Getting rid of negative influence,Mental health and wellbeing,circ2,S35goal1circ2,Aspirational,,Entertainment,No,,event-internal,Listening to bad music,Psychosocial Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,weekly,,,It makes you more angry and violent.,Listen to better frequency tunes to help me out,Emotional,,,It too negatively impresses the subconcious.,Cut out the new secular rap music,No response,,,,,,
S35,S36,goal1,S35goal1,,circ1,Getting rid of negative influence,Mental health and wellbeing,circ1,S35goal1circ1,Aspirational,,Social interaction - other,No,,event-internal,Watching the news,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,every other week,,,It has definitely gave me bad subconcious impression,,Emotional,,,Trying to stay informed and got bombarded with nothing but negativity,Stop watching this content,No response,,,,,,
S35,S36,goal3,S35goal3,,circ1,Eating better,Nutrition,circ1,S35goal3circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier,My lack of discipline,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,weekly,,,It made me feel a little down mentally and physically.,Eating Ice cream instead of fruit.,Physical,Emotional,,Making unhealthy food choices instead of ones I new were good,Temporary decisions that threw me off course,Skipped,,,,,,
S35,S36,goal2,S35goal2,,circ1,Working out more consistantly,Physical Activity,circ1,S35goal2circ1,Medium term,,Work,No,,event-external,Work,Living and Working Conditions,Living/Working,No,No,No,more than half a day to a day,,weekly,,,I be tired afterwards,Plan around the job,Physical,,,I cant be on the clock and workout too.,Tried to workout in between breaks during work,Substituted activity,,,,,,
S36,S37,goal1,S36goal1,,circ1,"I'm working on reading more instead of just watching TV or browsing the internet, as it's always been meditative for me",Mental health and wellbeing,circ1,S36goal1circ1,Medium term,,Internal - Feelings and thoughts,No,,event-internal,Sometimes it's just easier to flop on the couch and drift of into mindless TV or internet. Reading takes focus,Living and Working Conditions,Psychosocial,No,No,No,more than an hour to half a day,,weekly,,,"It didn't hurt it, but kept me from my reading goal",,Emotional,,,Sometimes I'm just lazy,I've made sure I do read at least 3-4 days a week after dinner,Changed environment,,,,,,
S36,S37,goal2,S36goal2,,circ1,I need to lose about 10-15 as I've been pretty lazy the past year,Weight management,circ1,S36goal2circ1,Long term,,Internal - Feelings and thoughts,Yes,,barrier,laziness,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,weekly,,,NA,na,Emotional,,,Somedays you just don't feel like working out,"I haven't, though I need to",Skipped,,,,,,
S37,S38,goal3,S37goal3,,circ1,Improve physical health,Physical Activity,circ1,S37goal3circ1,Long term,,Weather,No,,event-external,Rain,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,monthly,,,None,None,No response,,,Kept me from playing basketball,Rescheduled,Rescheduled,,,,,,
S37,S38,goal1,S37goal1,,circ1,Finish my degree,Education/Learning,circ1,S37goal1circ1,Medium term,,No disruption,No,,not enough information,,,No response,No,No,No,No response,,No response,,,,,No labor- positive disruption,,,,,No response,,,,,,
S37,S38,goal2,S37goal2,,circ1,Seek counseling to improve mental health,Mental health and wellbeing,circ1,S37goal2circ1,Medium term,,No disruption,No,,not enough information,,,No response,No,No,No,No response,,No response,,,,,No labor- positive disruption,,,,,No response,,,,,,
S38,S39,goal3,S38goal3,,circ1,Visiting doctors and specialists after not going to the doctor for many years.,Health - other,circ1,S38goal3circ1,Medium term,,Health,No,,event-external,DIfficult to schedule appointments - doctors not accepting new patients.,Living and Working Conditions,Socioeconomic/Political,No,No,No,multiple months to a year,,yearly or less,,,None,None,No response,,,It was hard to find certain specialists who were taking new patients - it took me much longer than I expected to make all of my appointments.,"I had a goal of getting all of my doctors appointments done in 2024, but now I had to extend that goal into the following year.",Changed quantity,,,,,,
S38,S39,goal1,S38goal1,,circ1,Drinking more water each day.,Nutrition,circ1,S38goal1circ1,Medium term,,Travel,No,,event-external,Traveling by car and not wanting to stop to use the restroom because of excessive water consumption.,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,monthly,,,It made me upset that I wasn't reaching a goal I set for myself.,,Emotional,,,It made it so that I did not consume my usual amount of water that day.,I did not drink as much water during the days I knew I would be in the car for long periods of time.,Skipped,,,,,,
S38,S39,goal1,S38goal1,,circ2,Drinking more water each day.,Nutrition,circ2,S38goal1circ2,Medium term,,Social interaction - other,No,,event-external,Being around people who usually drink alcohol at meals.,Psychosocial Factors,Social/Community,No,No,No,multiple days to a week,,every 6 months,,,It just upset me that I was being prevented from reaching my goal.,None,Emotional,,,It prevented me from getting my expected amount of water consumed that day.,Was more likely to order an alcoholic beverage with my meal than just drinking water.,Skipped,,,,,,
S38,S39,goal2,S38goal2,,circ1,"Walking daily, if possible, or at least every workday during my lunch break.",Physical Activity,circ1,S38goal2circ1,Medium term,,Weather,No,,event-external,Rainy weather,Living and Working Conditions,Living/Working,No,No,No,multiple days to a week,,every other week,,,I was upset / depressed that I would be unable to meet my goal for that day.,None,Emotional,,,It prevented me from getting my step goal in for that particular day.,I didn't walk on days when there was excessive rain.,Skipped,,,,,,
S38,S39,goal2,S38goal2,,circ2,"Walking daily, if possible, or at least every workday during my lunch break.",Physical Activity,circ2,S38goal2circ2,Medium term,,Work,No,,event-external,Too much work to catch up on at lunch,Living and Working Conditions,Living/Working,No,No,No,multiple days to a week,,every other week,,,Made me grumpy that I wasn't able to get my exercise in on that day.,None,Emotional,,,It prevented me from getting to my goal of steps on some days during the week.,"My walks were shorter, and I got fewer steps in, but I still managed to do some walking.",Changed quantity,,,,,,
S39,S40,goal1,S39goal1,,circ2,eat a more well balanced diet,Nutrition,circ2,S39goal1circ2,Medium term,,Work,No,,event-external,I was exhausted from worked and wanted something quick and easy and ate junk food.,Psychosocial Factors,Living/Working,No,No,No,more than an hour to half a day,,every other week,,,"It felt good in the moment because chef boyardee is delicious, but I felt guilty afterwards.",na,Emotional,,,na,I ate chef boyardee instead of chicken breast and steamed vegetables,Skipped,,,,,,
